,犯第二次以上,是否為自用車,是否以車子維生(例:送貨卡車、計程車),營利與否,民眾舉證辯護,,win_loss
"臺北高等行政法院,104,訴,1398,20160407,1.txt",1,1,0,1,1,,win
"臺北高等行政法院,104,訴,1406,20161123,1.txt",1,1,0,1,1,,win
"臺北高等行政法院,104,訴,1571,20160602,1.txt",1,1,0,1,0,,loss
"臺北高等行政法院,104,訴,1591,20160421,1.txt",0,1,0,1,0,,win
"臺北高等行政法院,104,訴,1847,20160616,1.txt",1,1,0,1,1,,loss
"臺北高等行政法院,104,訴,1850,20160504,1.txt",1,1,0,1,0,,loss
"臺北高等行政法院,104,訴,1854,20160713,1.txt",1,1,0,1,0,,loss
"臺北高等行政法院,104,訴,1857,20160628,1.txt",1,1,0,1,1,,win
"臺北高等行政法院,104,訴,802,20151211,1.txt",0,1,0,0,1,,loss
"臺北高等行政法院,104,訴,996,20160630,1.txt",1,1,0,1,1,,loss
"臺北高等行政法院,105,訴,1138,20161229,1.txt",1,0,0,1,0,,loss
"臺北高等行政法院,105,訴,1232,20161115,1.txt",1,1,0,1,0,,loss
"臺北高等行政法院,105,訴,126,20160630,1.txt",1,1,0,1,1,,loss
"臺北高等行政法院,105,訴,127,20160706,1.txt",1,1,0,1,0,,win
"臺北高等行政法院,105,訴,128,20160623,1.txt",1,1,0,1,1,,win
"臺北高等行政法院,105,訴,140,20161123,1.txt",1,1,0,1,1,,win
"臺北高等行政法院,105,訴,1404,20170119,1.txt",1,1,0,1,1,,win
"臺北高等行政法院,105,訴,141,20160630,1.txt",1,1,0,1,1,,loss
"臺北高等行政法院,105,訴,1416,20170119,1.txt",1,1,0,1,1,,win
"臺北高等行政法院,105,訴,1418,20170713,1.txt",1,1,0,1,1,,win
"臺北高等行政法院,105,訴,1419,20170727,1.txt",0,1,0,1,1,,win
"臺北高等行政法院,105,訴,142,20160721,1.txt",1,1,0,1,1,,loss
"臺北高等行政法院,105,訴,1420,20170223,1.txt",1,1,0,1,1,,win
"臺北高等行政法院,105,訴,1424,20170613,1.txt",1,1,0,1,1,,win
"臺北高等行政法院,105,訴,1489,20170124,1.txt",0,0,0,1,0,,loss
"臺北高等行政法院,105,訴,1562,20170330,1.txt",0,0,0,1,0,,loss
"臺北高等行政法院,105,訴,1582,20170222,1.txt",1,1,0,1,1,,win
"臺北高等行政法院,105,訴,1681,20170411,1.txt",1,0,0,1,1,,loss
"臺北高等行政法院,105,訴,1783,20170601,1.txt",0,1,0,1,0,,loss
"臺北高等行政法院,105,訴,1819,20170321,1.txt",1,1,0,1,1,,loss
"臺北高等行政法院,105,訴,1830,20170608,1.txt",0,1,0,1,1,,loss
"臺北高等行政法院,105,訴,1831,20170427,1.txt",0,1,0,1,1,,loss
"臺北高等行政法院,105,訴,1832,20170628,1.txt",1,1,0,1,0,,loss
"臺北高等行政法院,105,訴,1871,20170511,1.txt",1,1,0,1,1,,loss
"臺北高等行政法院,105,訴,319,20160614,1.txt",0,0,0,1,0,,loss
"臺北高等行政法院,105,訴,320,20160817,1.txt",0,1,0,0,0,,win
"臺北高等行政法院,105,訴,465,20161013,1.txt",0,1,0,1,1,,win
"臺北高等行政法院,105,訴,766,20161130,1.txt",1,0,0,1,0,,win
"臺北高等行政法院,106,訴,1044,20180328,2.txt",1,1,0,1,1,,loss
"臺北高等行政法院,106,訴,1045,20171221,1.txt",0,1,0,1,1,,loss
"臺北高等行政法院,106,訴,1046,20171130,1.txt",1,1,0,1,1,,loss
"臺北高等行政法院,106,訴,1047,20171221,1.txt",1,1,0,1,0,,loss
"臺北高等行政法院,106,訴,1049,20171130,1.txt",1,1,0,1,1,,loss
"臺北高等行政法院,106,訴,1050,20171207,1.txt",0,1,0,1,1,,loss
"臺北高等行政法院,106,訴,113,20170817,1.txt",0,1,0,1,0,,loss
"臺北高等行政法院,106,訴,1172,20180329,1.txt",1,1,0,1,0,,loss
"臺北高等行政法院,106,訴,1174,20180112,1.txt",1,1,1,1,0,,loss
"臺北高等行政法院,106,訴,119,20170831,1.txt",1,0,0,1,0,,win
"臺北高等行政法院,106,訴,1191,20180328,2.txt",1,0,1,1,1,,loss
"臺北高等行政法院,106,訴,1192,20180425,1.txt",1,0,1,1,1,,loss
"臺北高等行政法院,106,訴,1193,20180502,2.txt",1,0,1,1,1,,loss
"臺北高等行政法院,106,訴,1194,20180308,1.txt",0,1,0,1,1,,loss
"臺北高等行政法院,106,訴,1195,20180329,1.txt",1,1,0,1,1,,loss
"臺北高等行政法院,106,訴,1196,20180328,1.txt",1,1,1,1,1,,loss
"臺北高等行政法院,106,訴,1197,20171213,1.txt",1,1,0,1,1,,loss
"臺北高等行政法院,106,訴,1198,20180307,1.txt",1,0,1,1,1,,loss
"臺北高等行政法院,106,訴,1199,20171130,1.txt",1,0,0,1,1,,loss
"臺北高等行政法院,106,訴,120,20170810,1.txt",0,1,0,1,0,,loss
"臺北高等行政法院,106,訴,121,20170615,1.txt",1,1,0,1,0,,loss
"臺北高等行政法院,106,訴,1329,20180125,1.txt",1,0,0,0,0,,loss
"臺北高等行政法院,106,訴,1332,20180328,1.txt",1,0,1,1,1,,win
"臺北高等行政法院,106,訴,1333,20180208,1.txt",1,0,0,1,1,,loss
"臺北高等行政法院,106,訴,1334,20180125,1.txt",1,0,1,1,0,,win
"臺北高等行政法院,106,訴,1335,20180621,1.txt",1,1,0,1,0,,loss
"臺北高等行政法院,106,訴,1337,20180301,1.txt",1,1,0,1,0,,loss
"臺北高等行政法院,106,訴,1338,20180208,1.txt",1,1,0,1,1,,loss
"臺北高等行政法院,106,訴,1339,20180419,1.txt",1,1,0,1,0,,loss
"臺北高等行政法院,106,訴,1514,20180214,1.txt",0,1,0,1,1,,loss
"臺北高等行政法院,106,訴,1515,20180425,1.txt",1,0,1,1,0,,loss
"臺北高等行政法院,106,訴,1516,20180419,1.txt",1,1,0,1,1,,loss
"臺北高等行政法院,106,訴,1530,20180222,1.txt",1,1,0,1,1,,loss
"臺北高等行政法院,106,訴,1531,20180208,1.txt",0,1,1,1,0,,loss
"臺北高等行政法院,106,訴,155,20170907,2.txt",1,1,0,1,1,,win
"臺北高等行政法院,106,訴,157,20170622,1.txt",0,1,0,1,1,,loss
"臺北高等行政法院,106,訴,158,20170622,1.txt",1,1,0,1,1,,loss
"臺北高等行政法院,106,訴,1604,20180712,1.txt",0,1,0,1,0,,win
"臺北高等行政法院,106,訴,1682,20180613,1.txt",0,1,0,1,1,,win
"臺北高等行政法院,106,訴,356,20171012,1.txt",1,1,0,1,1,,loss
"臺北高等行政法院,106,訴,395,20170622,1.txt",0,1,0,1,0,,loss
"臺北高等行政法院,106,訴,398,20171214,1.txt",1,1,0,1,1,,loss
"臺北高等行政法院,106,訴,561,20170816,1.txt",1,1,0,1,1,,loss
"臺北高等行政法院,106,訴,562,20171214,1.txt",1,1,0,1,1,,loss
"臺北高等行政法院,106,訴,738,20170914,1.txt",0,1,0,1,0,,loss
"臺北高等行政法院,106,訴,739,20170928,1.txt",0,1,0,1,0,,loss
"臺北高等行政法院,106,訴,859,20180621,1.txt",1,1,1,1,1,,loss
"臺北高等行政法院,106,訴,860,20170926,1.txt",1,1,0,1,0,,loss
"臺北高等行政法院,106,訴,861,20171221,1.txt",1,0,0,1,0,,loss
"臺北高等行政法院,106,訴更一,58,20180104,1.txt",1,1,1,1,1,,win
"臺北高等行政法院,106,訴更一,76,20180226,1.txt",0,1,1,1,0,,loss
"臺北高等行政法院,106,訴更一,8,20170523,2.txt",1,1,0,1,0,,win
"臺北高等行政法院,107,訴,233,20180712,1.txt",1,1,1,1,0,,loss
"臺北高等行政法院,107,訴,55,20181004,1.txt",0,0,0,1,0,,win
"臺北高等行政法院,107,訴,61,20180517,1.txt",0,1,0,1,0,,loss
"臺北高等行政法院,92,訴,1097,20040408,1.txt",0,0,0,1,1,,win
"臺北高等行政法院,92,訴,3902,20040617,1.txt",0,1,0,0,1,,loss
"臺北高等行政法院,92,訴,4627,20041202,3.txt",0,1,0,0,1,,win
"臺北高等行政法院,93,簡,690,20040929,1.txt",0,0,0,0,0,,loss
"臺北高等行政法院,93,訴,255,20050413,1.txt",0,0,0,0,1,,win
"臺北高等行政法院,93,訴,3671,20050908,1.txt",0,1,0,1,0,,loss
"臺北高等行政法院,94,訴,3319,20060523,1.txt",0,1,0,1,0,,loss
"臺北高等行政法院,95,訴更一,166,20070321,1.txt",0,0,0,0,1,,loss
"臺北高等行政法院,96,訴,107,20070823,1.txt",0,0,0,0,0,,loss
"臺北高等行政法院,97,訴,1274,20081203,1.txt",0,1,0,1,0,,loss
"臺北高等行政法院,97,訴,2656,20090226,1.txt",0,1,0,1,0,,loss
"臺北高等行政法院,97,訴,2706,20090514,1.txt",0,0,0,0,0,,loss
"臺北高等行政法院,97,訴,398,20081127,1.txt",0,1,0,0,0,,loss
"臺北高等行政法院,97,訴更一,96,20090409,1.txt",0,0,0,0,0,,loss
"臺北高等行政法院,98,訴,2433,20100206,1.txt",0,0,0,1,0,,loss
"臺北高等行政法院,98,訴,2552,20100513,1.txt",0,1,0,1,1,,loss
"高雄高等行政法院,90,訴,1907,20020611,1.txt",0,0,0,0,0,,win
"高雄高等行政法院,94,訴,99,20050616,1.txt",0,0,0,0,0,,loss
"高雄高等行政法院,97,訴,886,20090325,2.txt",0,0,0,0,1,,loss
